"Name","id","Source","Phone","Website/Social Media","Category","Latitude","Longitude","Address","Status","Pickup Offered","Delivery Offered","Notes","Hours","Delivery Apps","MWBE","Black Owned Business","Instagram","Sub-Category","Outdoor Dining","Indoor Dining","Order Website","Last Updated","Created time","Delivery/Pickup Notes","Owners","Images","Email","Special Accommodation Hours"
"El Tapatio",3532,"Restaurant","212-876-3055",,"Restaurants/Bars",40.797879,-73.939201,"209 East 116th Street, New York, NY 10029 ","Open","Yes","Yes","
","Monday- Sunday 11 a.m.-11 p.m
","### IN-HOUSE, [SEAMLESS](https://www.seamless.com/menu/el-tapatio-mexican-restaurant-209-e-116th-st-new-york/114465?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DOORDASH](https://www.doordash.com/store/el-tapatio-mexican-restaurant-new-york-221674/?utm_campaign=gpa), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/el-tapatio-mexican-restaurant), [GRUBHUB](https://www.grubhub.com/restaurant/el-tapatio-mexican-restaurant-209-e-116th-st-new-york/114465?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)

",true,,"https://www.instagram.com/tapatiomexicanrestaurant_116st/","Restaurant/Bar","no","no","### IN-HOUSE, [SEAMLESS](https://www.seamless.com/menu/el-tapatio-mexican-restaurant-209-e-116th-st-new-york/114465?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DOORDASH](https://www.doordash.com/store/el-tapatio-mexican-restaurant-new-york-221674/?utm_campaign=gpa), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/el-tapatio-mexican-restaurant), [GRUBHUB](https://www.grubhub.com/restaurant/el-tapatio-mexican-restaurant-209-e-116th-st-new-york/114465?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"El Tepeyac",3533,"UGC website","212-987-8364","https://eltepeyacfood.com/","Restaurants/Bars",40.789737,-73.947864,"1621 Lexington Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Daily 8 a.m.-1 a.m.
","### IN-HOUSE, [GRUBHUB](https://www.grubhub.com/restaurant/el-tepeyac-grocery-and-taqueria-1621a-lexington-ave-new-york/742110), [DOORDASH](https://www.doordash.com/store/el-tepeyac-mexican-food-new-york-395380/en-US)

",true,,"https://www.instagram.com/eltepeyacgrocery/","Restaurant/Bar","yes","n/a","### IN-HOUSE, [GRUBHUB](https://www.grubhub.com/restaurant/el-tepeyac-grocery-and-taqueria-1621a-lexington-ave-new-york/742110), [DOORDASH](https://www.doordash.com/store/el-tepeyac-mexican-food-new-york-395380/en-US)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Evelyn's Kitchen",3535,"UGC website","646-476-7906",,"Restaurants/Bars",40.797776,-73.934491,"2317 First Avenue, New York, NY 10035 ","Open","Yes","Yes","
","Tuesday-Friday 2-9 p.m.
","### [GRUBHUB](https://www.grubhub.com/restaurant/evelyns-kitchen-2317-1st-ave-new-york/289192), [DOORDASH](https://www.doordash.com/store/evelyn-s-kitchen-new-york-157884/en-US), [UBEREATS](https://www.ubereats.com/new-york/food-delivery/evelyns-kitchen/Lh7JhGhsTsGoVgK6-7LMFQ)

",,,"https://www.instagram.com/evelynskitchen/","Restaurant/Bar","no","n/a","### [GRUBHUB](https://www.grubhub.com/restaurant/evelyns-kitchen-2317-1st-ave-new-york/289192), [DOORDASH](https://www.doordash.com/store/evelyn-s-kitchen-new-york-157884/en-US), [UBEREATS](https://www.ubereats.com/new-york/food-delivery/evelyns-kitchen/Lh7JhGhsTsGoVgK6-7LMFQ)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Famous Fish Market",3536,"Restaurant","212-491-8323",,"Restaurants/Bars",40.823523,-73.944767,"684 St. Nicholas Avenue, New York, NY 10030 ","Open","Yes","No",,"Monday-Thursday 11am-11pm, Friday-Saturday 11am-midnight
",,true,true,"https://www.instagram.com/thefamousfishmarket/","Restaurant/Bar","no","no",,"2020-10-22","2020-06-15T20:53:30.000Z",,,,,
"Fieldtrip Harlem",3537,"Restaurant","917-639-3919","https://www.fieldtripnyc.com/","Restaurants/Bars",40.801602,-73.950415,"109 Malcolm X Boulevard, New York, NY 10026 ","Open","Yes","Yes","
","Monday-Saturday 11am-9pm
","### [IN-HOUSE](https://www.fieldtripnyc.com/Order-Online), [GRUBHUB](https://www.grubhub.com/restaurant/fieldtrip-harlem-109-lenox-ave-new-york/1152897)

",true,true,"https://www.instagram.com/fieldtripharlem/","Restaurant/Bar","no","no","### [IN-HOUSE](https://www.fieldtripnyc.com/Order-Online), [GRUBHUB](https://www.grubhub.com/restaurant/fieldtrip-harlem-109-lenox-ave-new-york/1152897)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Floridita",3538,"UGC website","212-662-0090","https://www.floriditanyc.com/","Restaurants/Bars",40.818002,-73.960985,"2276 Twelfth Avenue, New York, NY 10027 ","Open","Yes","Yes","
","Monday-Friday 11am-9pm
","###  [GRUBHUB](https://www.grubhub.com/restaurant/harlems-floridita-2276-12th-ave-new-york/890435), [POSTMATES](https://postmates.com/merchant/harlems-floridita-new-york), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/harlems-floridita?address=56%20E%20126th%20St%2C%2010035&orderTime=ASAP&orderType=delivery)

",true,,"https://www.instagram.com/floriditanyc/","Restaurant/Bar","no",,"###  [GRUBHUB](https://www.grubhub.com/restaurant/harlems-floridita-2276-12th-ave-new-york/890435), [POSTMATES](https://postmates.com/merchant/harlems-floridita-new-york), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/harlems-floridita?address=56%20E%20126th%20St%2C%2010035&orderTime=ASAP&orderType=delivery)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Frenchy Coffee",3539,"UGC website","646-891-0088",,"Restaurants/Bars",40.789955,-73.948189,"129 East 102nd Street, New York, NY 10029 ","Open","Yes","Yes","
","Monday-Saturday 8 a.m.-3 p.m.
","GRUBHUB, POSTMATES, UBER EATS
",,,"https://www.instagram.com/frenchycoffeenyc/","Restaurant/Bar","yes","n/a","### [GRUBHUB](https://www.grubhub.com/restaurant/frenchy-coffee-nyc-129-e-102nd-st-new-york/1388518), [POSTMATES](https://postmates.com/merchant/frenchy-coffee-nyc-new-york), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/frenchy-coffee-nyc/WNFTLRMbRFKwDrZh4_q7TQ)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Fruces Juice Bar",3540,"UGC website","646-861-3279",,"Restaurants/Bars",40.81824,-73.953098,"1496 Amsterdam Avenue, New York, NY 10031 ","Open","Yes","Yes","
","Monday-Friday 8am-5pm
","### IN-HOUSE, [GRUBHUB](https://www.grubhub.com/restaurant/fruces-juice-bar-1496-amsterdam-ave-new-york/994637), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/fruces/_T3aUrA1QFqZKbOOdbyIiA), [POSTMATES](https://postmates.com/merchant/fruces-harlem-new-york), [DOORDASH](https://www.doordash.com/store/fruces-new-york-534002/), [DELIVERY.COM](https://www.ubereats.com/new-york/food-delivery/fruces/_T3aUrA1QFqZKbOOdbyIiA?adg_id=86796487859&adg_id=86796487859&campaign_id=937838285&campaign_id=937838285&cre=405378665413&cre=405378665413&dev=c&dev=c&dev_m=&dev_m=&fi_id=&fi_id=&gclid=EAIaIQobChMI95iq67Cq6AIVConICh1ynA3-EAAYAiAAEgJmNPD_BwE&gclsrc=aw.ds&gclsrc=aw.ds&kw=%2Bfruces&kw=%2Bfruces&kwid=kwd-817615150442&kwid=kwd-817615150442&match=b&match=b&net=g&net=g&placement=&placement=&tar=&tar=&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bfruces_kwd-817615150442_405378665413_86796487859_b_c&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bfruces_kwd-817615150442_405378665413_86796487859_b_c&utm_source=AdWords_NonBrand&utm_source=AdWords_NonBrand)

",,,,"Restaurant/Bar","no",,"### IN-HOUSE, [GRUBHUB](https://www.grubhub.com/restaurant/fruces-juice-bar-1496-amsterdam-ave-new-york/994637), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/fruces/_T3aUrA1QFqZKbOOdbyIiA), [POSTMATES](https://postmates.com/merchant/fruces-harlem-new-york), [DOORDASH](https://www.doordash.com/store/fruces-new-york-534002/), [DELIVERY.COM](https://www.ubereats.com/new-york/food-delivery/fruces/_T3aUrA1QFqZKbOOdbyIiA?adg_id=86796487859&adg_id=86796487859&campaign_id=937838285&campaign_id=937838285&cre=405378665413&cre=405378665413&dev=c&dev=c&dev_m=&dev_m=&fi_id=&fi_id=&gclid=EAIaIQobChMI95iq67Cq6AIVConICh1ynA3-EAAYAiAAEgJmNPD_BwE&gclsrc=aw.ds&gclsrc=aw.ds&kw=%2Bfruces&kw=%2Bfruces&kwid=kwd-817615150442&kwid=kwd-817615150442&match=b&match=b&net=g&net=g&placement=&placement=&tar=&tar=&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bfruces_kwd-817615150442_405378665413_86796487859_b_c&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bfruces_kwd-817615150442_405378665413_86796487859_b_c&utm_source=AdWords_NonBrand&utm_source=AdWords_NonBrand)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Fumo Harlem",3541,"CK","646-692-6675","https://www.fumorestaurant.com/","Restaurants/Bars",40.821438,-73.950724,"1600 Amsterdam Avenue, New York, NY 10031 ","Open","Yes","Yes","
","Sunday-Monday 11 a.m.-10 p.m., Tuesday-Thursday 11 a.m.-10:30 p.m., Friday-Saturday 11 a.m.-11 p.m.
","### [IN-HOUSE](https://eat.9fold.me/index.html#/447), [GRUBHUB](https://www.grubhub.com/restaurant/fumo-harlem-1600-amsterdam-ave-new-york/318509?gclid=EAIaIQobChMIgNqotL696AIVhZ6fCh0BTwwjEAAYASAAEgJw-PD_BwE&gclsrc=aw.ds)

",,,"https://www.instagram.com/fumo_harlem/","Restaurant/Bar","yes","yes","### [IN-HOUSE](https://eat.9fold.me/index.html#/447), [GRUBHUB](https://www.grubhub.com/restaurant/fumo-harlem-1600-amsterdam-ave-new-york/318509?gclid=EAIaIQobChMIgNqotL696AIVhZ6fCh0BTwwjEAAYASAAEgJw-PD_BwE&gclsrc=aw.ds)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"G&J's Pizzeria",3542,"UGC website","212-369-4800","https://www.grubhub.com/restaurant/gjs-pizzeria-188-e-104th-st-new-york/408254","Restaurants/Bars",40.790284,-73.945986,"188 East 104th Street, New York, NY 10029 ","Open","Yes","Yes","
","Monday-Thursday 11 a.m.-9 p.m., Friday-Sunday 11 a.m.-10 p.m.
","### [GRUBHUB](https://www.grubhub.com/restaurant/gjs-pizzeria-1811-1st-ave-new-york/309088), [SLICE](https://slicelife.com/restaurants/ny/new-york/10029/g-j-s-pizzeria/menu?segment_id=124e153b-f05c-43b4-99eb-89f54f2fdb78&utm_campaign=partner_websites)

",,,"https://www.instagram.com/gjspizzeria/","Restaurant/Bar","no","n/a","GRUBHUB, SLICE
","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Gaudir",3543,"UGC website","347-845-9443","https://www.gaudir-spanish-tapas.com/","Restaurants/Bars",40.79359,-73.940923,"251 East 110th Street, New York, NY 10029 ","Open","Yes","Yes","### _make your reservation for the patio via resy.com_


","Tuesday-Saturday 5-9:30 p.m.
","### [UBER EATS](https://www.ubereats.com/new-york/food-delivery/gaudir/e7bf9GaBRAW1DuA7aOJvFQ?promo=de5ddd46-3c36-4e62-80d5-8bc8a5dcba0e), 

",true,,"https://www.instagram.com/ts_gaudir/","Restaurant/Bar","yes","yes","### [UBER EATS](https://www.ubereats.com/new-york/food-delivery/gaudir/e7bf9GaBRAW1DuA7aOJvFQ?promo=de5ddd46-3c36-4e62-80d5-8bc8a5dcba0e), 

","2020-10-29","2020-06-15T20:53:30.000Z","
","Keiko Tajima",,,
"Go Go Curry",3544,"UGC website","646-833-7143","https://gogocurryamerica.com/","Restaurants/Bars",40.815535,-73.957794,"567 West 125th Street, New York, NY 10027 ","Open","Yes","Yes","
","Monday-Friday 11am-8pm, Saturday & Sunday 12pm-8pm
","### [IN-HOUSE](https://direct.chownow.com/order/890/locations), [GRUBHUB](https://www.grubhub.com/restaurant/go-go-curry-harlem-567-w-125th-st-new-york/361328), DOORDASH, [POSTMATES](https://postmates.com/merchant/go-go-curry-new-york-5), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/go!-go!-curry!-harlem/6WVuy-ytTwux3PVxmYGlQA), [ALLSET](https://allsetnow.com/order/restaurant/1390/)

",,,"https://www.instagram.com/gogocurryamerica/","Restaurant/Bar","no",,"### [IN-HOUSE](https://direct.chownow.com/order/890/locations), [GRUBHUB](https://www.grubhub.com/restaurant/go-go-curry-harlem-567-w-125th-st-new-york/361328), DOORDASH, [POSTMATES](https://postmates.com/merchant/go-go-curry-new-york-5), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/go!-go!-curry!-harlem/6WVuy-ytTwux3PVxmYGlQA), [ALLSET](https://allsetnow.com/order/restaurant/1390/)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Guajillo Mexican Kitchen",3545,"Restaurant","646-912-9971",,"Restaurants/Bars",40.796914,-73.935154,"2277 First Avenue, New York, NY 10035 ","Open","Yes","Yes","
","Monday - Sunday 1pm- 10pm
","### [GRUBHUB](https://www.grubhub.com/restaurant/guajillo-2277-1st-ave-new-york/332236), [SEAMLESS](https://www.seamless.com/menu/guajillo-2277-1st-ave-new-york/332236), [UBEREATS](https://www.ubereats.com/new-york/food-delivery/guajillo-restaurant-corp-east-harlem/9YJ1vsSNTUSHRoS8Z0-alw?utm_campaign=place-action-link&utm_medium=organic&utm_source=google),[DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/guajillo-1st-ave?address=&orderTime=ASAP&orderType=delivery), [DOORDASH](https://www.doordash.com/store/guajillo-mexican-kitchen-new-york-134132/en-US)

",true,,,"Restaurant/Bar","yes","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/guajillo-2277-1st-ave-new-york/332236), [SEAMLESS](https://www.seamless.com/menu/guajillo-2277-1st-ave-new-york/332236), [UBEREATS](https://www.ubereats.com/new-york/food-delivery/guajillo-restaurant-corp-east-harlem/9YJ1vsSNTUSHRoS8Z0-alw?utm_campaign=place-action-link&utm_medium=organic&utm_source=google),[DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/guajillo-1st-ave?address=&orderTime=ASAP&orderType=delivery), [DOORDASH](https://www.doordash.com/store/guajillo-mexican-kitchen-new-york-134132/en-US)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Harlem Ale House",3546,"Instagram","212) 203-6068",,"Restaurants/Bars",40.809334,-73.944863,"101 West 127th Street, New York, NY 10027 ","Open","Yes","Yes","
","Monday-Sunday 3pm-10pm
","### [GRUBHUB](https://www.grubhub.com/restaurant/harlem-ale-house-101-w-127th-st-new-york/1050828?gclid=EAIaIQobChMIwu6l4YK06AIVLYNaBR3EWw71EAAYASAAEgIdJPD_BwE&gclsrc=aw.ds), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/harlem-ale-house/PE51VZ8lSeyhbR7OF-JsyA/3cc1af52-f88f-4ee6-9c06-2877053c051c)

",,,"https://www.instagram.com/officialharlemalehousenyc/","Restaurant/Bar","yes","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/harlem-ale-house-101-w-127th-st-new-york/1050828?gclid=EAIaIQobChMIwu6l4YK06AIVLYNaBR3EWw71EAAYASAAEgIdJPD_BwE&gclsrc=aw.ds), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/harlem-ale-house/PE51VZ8lSeyhbR7OF-JsyA/3cc1af52-f88f-4ee6-9c06-2877053c051c)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Harlem Blues Cafe",3547,"UGC website","917-675-7258",,"Restaurants/Bars",40.81052,-73.939574,"2144 Fifth Avenue, New York, NY 10037 ","Open","Yes","Yes","
","
","### [GRUBHUB](https://www.grubhub.com/restaurant/harlem-blues-cafe-2144-5th-ave-new-york/614854), [DOORDASH](https://www.doordash.com/store/harlem-blues-cafe-new-york-336394/en-US)

",,,"https://www.instagram.com/harlembluescafe/","Restaurant/Bar","no",,"### [GRUBHUB](https://www.grubhub.com/restaurant/harlem-blues-cafe-2144-5th-ave-new-york/614854), [DOORDASH](https://www.doordash.com/store/harlem-blues-cafe-new-york-336394/en-US)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Harlem Burger Co.",3548,"Restaurant","212-222-9899",,"Restaurants/Bars",40.805712,-73.954062,"2190 Frederick Douglass Boulevard, New York, NY 10026 ","Open","Yes","Yes","
","Monday-Sunday 12pm-11pm
","### [IN-HOUSE](https://harlemburgerco.com/), [GRUBHUB](https://www.grubhub.com/restaurant/harlem-burger-co-2190-frederick-douglas-blvd-new-york/347128), [POSTMATES](https://postmates.com/merchant/harlem-burger-co-new-york)

",,,"https://www.instagram.com/harlemburgerco/","Restaurant/Bar","yes","no","### [IN-HOUSE](https://harlemburgerco.com/), [GRUBHUB](https://www.grubhub.com/restaurant/harlem-burger-co-2190-frederick-douglas-blvd-new-york/347128), [POSTMATES](https://postmates.com/merchant/harlem-burger-co-new-york)

","2020-10-29","2020-06-15T20:53:30.000Z","
",,,,
"Harlem Chocolate Factory",3549,"Instagram","(646) 922-8816",,"Restaurants/Bars",40.817323,-73.941691,"2363 Adam Clayton Powell Boulevard, New York, NY 10030 ","Closed","Yes","No","Reopening November 1st
",,,true,true,"https://www.instagram.com/harlemchocolatefactory/","Restaurant/Bar","no",,,"2020-10-22","2020-06-15T20:53:30.000Z",,,,,
"Harlem Food Bar",3550,"Instagram","212-222-9570","https://www.hfbnyc.com/","Restaurants/Bars",40.802746,-73.956191,"2100 Frederick Douglass Boulevard, New York, NY 10026 ","Open","Yes","No",,"Tuesday-Sunday 4-10 p.m. 

",,,,"https://www.instagram.com/harlemfoodbar/","Restaurant/Bar","yes","yes",,"2020-10-22","2020-06-15T20:53:30.000Z",,,,,
"Harlem Hookah",3551,"CK","646-912-9905","https://www.harlemhookah.com/","Restaurants/Bars",40.810658,-73.943844,"381 Malcolm X Boulevard, New York, NY 10027 ","Open","Yes","Yes","
","Daily 2 p.m.-Midnight	
","In House
",true,true,"https://www.instagram.com/harlemhookah/","Restaurant/Bar","yes","yes",,"2020-10-29","2020-06-15T20:53:30.000Z","
",,,,
"Harlem Hops",3552,"Instagram","646-998-3444","https://harlemhops.com/","Restaurants/Bars",40.814441,-73.944777,"2268 Adam Clayton Powell Boulevard, New York, NY 10030 ","Open","Yes","Yes","
","Monday- Thursday 4pm-9pm, Friday 4pm-10pm, Saturday & Sunday 12pm-10pm
","### [IN-HOUSE](https://www.beermenus.com/places/53993-harlem-hops)

",true,true,"https://www.instagram.com/harlemhops/","Restaurant/Bar","no",,"### [IN-HOUSE](https://www.beermenus.com/places/53993-harlem-hops)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Harlem Pizza Co.",3553,"Restaurant","212-222-9889",,"Restaurants/Bars",40.802879,-73.951084,"135 West 116th Street, New York, NY 10026 ","Open","Yes","Yes","
","Monday - Sunday 12pm-10pm
","### [GRUBHUB](https://www.grubhub.com/restaurant/harlem-pizza-co-135-w-116th-st-new-york/319511), [CHOWNOW](https://direct.chownow.com/order/6756/locations/8971), [POSTMATES](https://postmates.com/merchant/harlem-pizza-co-manhattan)

",,,"https://www.instagram.com/harlempizzaco/","Restaurant/Bar","no","no","### [GRUBHUB](https://www.grubhub.com/restaurant/harlem-pizza-co-135-w-116th-st-new-york/319511), [CHOWNOW](https://direct.chownow.com/order/6756/locations/8971), [POSTMATES](https://postmates.com/merchant/harlem-pizza-co-manhattan)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Harlem Public",3554,"UGC website",,"https://www.harlempublic.com","Restaurants/Bars",40.828657,-73.948229,"3612 Broadway, New York, NY 10031 ","Open","Yes","Yes","
","Monday- Sunday 11am -11pm
","### [IN-HOUSE](https://www.toasttab.com/harlem-public/v2/online-order#!/)

",,,"https://www.instagram.com/harlempublic/","Restaurant/Bar","yes","no","### [IN-HOUSE](https://www.toasttab.com/harlem-public/v2/online-order#!/)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Harlem Shake",3555,"Instagram","212-222-8300","https://www.harlemshakenyc.com/","Restaurants/Bars",40.807114,-73.946426,"100 West 124th Street, New York, NY 10027 ","Open","Yes","Yes","
","Sunday-Thursday 11am-11pm, Friday-Saturday 11am-2am
","###  [IN-HOUSE](https://www.toasttab.com/harlem-shake/v2/online-order#!/), [GRUBHUB](https://www.grubhub.com/restaurant/harlem-shake-100-w-124th-st-new-york/289109), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/harlem-shake/R4LmUZxXSA-4JdtXDR2lBQ?adg_id=77384322423&adg_id=77384322423&campaign_id=937838285&campaign_id=937838285&cre=385563623917&cre=385563623917&dev=c&dev=c&dev_m=&dev_m=&fi_id=&fi_id=&gclid=EAIaIQobChMI5_3ii-ik6AIVBG6GCh0GHgNLEAAYAiAAEgIQN_D_BwE&gclsrc=aw.ds&gclsrc=aw.ds&kw=%2Bharlem%20%2Bshake&kw=%2Bharlem%20%2Bshake&kwid=kwd-20060492417&kwid=kwd-20060492417&match=b&match=b&net=g&net=g&placement=&placement=&tar=&tar=&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bharlem%20%2Bshake_kwd-20060492417_385563623917_77384322423_b_c&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bharlem%20%2Bshake_kwd-20060492417_385563623917_77384322423_b_c&utm_source=AdWords_NonBrand&utm_source=AdWords_NonBrand), [POSTMATES](https://postmates.com/merchant/harlem-shake-new-york-2), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/harlem-shake?address=200%20W%20125th%20St%2C%2010027&orderTime=ASAP&orderType=delivery)
",true,,"https://www.instagram.com/harlemshakenyc/","Restaurant/Bar","yes","yes","###  [IN-HOUSE](https://www.toasttab.com/harlem-shake/v2/online-order#!/), [GRUBHUB](https://www.grubhub.com/restaurant/harlem-shake-100-w-124th-st-new-york/289109), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/harlem-shake/R4LmUZxXSA-4JdtXDR2lBQ?adg_id=77384322423&adg_id=77384322423&campaign_id=937838285&campaign_id=937838285&cre=385563623917&cre=385563623917&dev=c&dev=c&dev_m=&dev_m=&fi_id=&fi_id=&gclid=EAIaIQobChMI5_3ii-ik6AIVBG6GCh0GHgNLEAAYAiAAEgIQN_D_BwE&gclsrc=aw.ds&gclsrc=aw.ds&kw=%2Bharlem%20%2Bshake&kw=%2Bharlem%20%2Bshake&kwid=kwd-20060492417&kwid=kwd-20060492417&match=b&match=b&net=g&net=g&placement=&placement=&tar=&tar=&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bharlem%20%2Bshake_kwd-20060492417_385563623917_77384322423_b_c&utm_campaign=search-google-nonbrand_1_5_us-newyorkcity_e_txt_acq_cpc_en-us_%2Bharlem%20%2Bshake_kwd-20060492417_385563623917_77384322423_b_c&utm_source=AdWords_NonBrand&utm_source=AdWords_NonBrand), [POSTMATES](https://postmates.com/merchant/harlem-shake-new-york-2), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/harlem-shake?address=200%20W%20125th%20St%2C%2010027&orderTime=ASAP&orderType=delivery);

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Harlem Tavern",3556,"UGC website","212-866-4500","https://harlemtavern.com/","Restaurants/Bars",40.804789,-73.955591,"2153 Frederick Douglass Boulevard, New York, NY 10026 ","Open","Yes","No",,"Sunday-Thursday Noon-10 p.m., Friday-Saturday Noon-Midnight
",,true,,"https://www.instagram.com/harlemtavern/","Restaurant/Bar","yes","yes",,"2020-10-12","2020-06-15T20:53:30.000Z",,"Harlem Tavern owner Sheri Wilson Daly, ""you used to see hordes of people hailing taxis to leave Harlem for something to eat or drink."" She and husband Stephen Daly and another partner, Gareth Fagan, decided to ""bring a downtown restaurant uptown."" And on the former site of a gas station, Harlem Tavern made its debut in 2011. Mr. Fagan owns a bar called the Blind Pig in Lower Manhattan and Mr. Daly is a co-owner of a three-story sports bar in Times Square called Tonic Bar & Restaurant.",,,
"Harlem Wine Gallery",3557,"Yelp","646-912-9365",,"Independent Retail",40.807776,-73.948725,"2067 Adam Clayton Powell Boulevard, New York, NY 10027 ","Open","Yes","Yes","delivery ($35 minimum) Wednesday-Sunday 3-7 p.m.: Order online or on the harlem wine gallery app
","**Monday closed, Tuesday, **3:00 PM - 8:00 PM, Wednesday -Friday 12:00 PM - 8:00 PM, **Saturday **10:00 AM - 8:00 PM, **Sunday **12:00 PM - 8:00 PM

",,true,true,"https://www.instagram.com/harlemwine/","Wine/Liquor Store","no",,,"2020-10-12","2020-06-15T20:53:30.000Z",,,,,
"Hexagon Lounge",3558,"Restaurant","646-838-6500",,"Restaurants/Bars",40.821269,-73.944468,"318 West 142nd Street, New York, NY 10030 ","Open","Yes","Yes","
","Monday-Sunday 11:30am-8pm
","### GRUBHUB, [UBER EATS](https://www.ubereats.com/new-york/food-delivery/hexagon-lounge/ny3nc8gxSsmefLPn1ySNsQ)

",,,"https://www.instagram.com/hexagonloungebar/","Restaurant/Bar","yes","yes","### GRUBHUB, [UBER EATS](https://www.ubereats.com/new-york/food-delivery/hexagon-lounge/ny3nc8gxSsmefLPn1ySNsQ)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Hogshead Tavern",3559,"UGC website","(212) 234-1154","http://hogsheadharlem.com/","Restaurants/Bars",40.824058,-73.949353,"126 Hamilton Place, New York, NY 10031 ","Open","Yes","Yes","
","Monday-Sunday 2pm-10pm
","### [GRUBHUB](https://www.grubhub.com/restaurant/hogshead-tavern-126-hamilton-pl-new-york/1412809)

",,,"https://www.instagram.com/hogsheadtavern/","Restaurant/Bar","yes",,"### [GRUBHUB](https://www.grubhub.com/restaurant/hogshead-tavern-126-hamilton-pl-new-york/1412809)

","2020-10-29","2020-06-15T20:53:30.000Z",,"Hogshead Tavern is owned and operated by Harlem locals Tara Wholley and Leigh Corcoran who are part owners of the popular, Churchill Tavern in Midtown Manhattan.",,,
"Home Sweet Harlem",3560,"Restaurant","212-926-9616","https://homesweetharlem.nyc/","Restaurants/Bars",40.819378,-73.952219,"1528 Amsterdam Avenue, New York, NY 10031 ","Open","Yes","Yes","Indoor Dining Friday-Sunday

","Tuesday 9am-6pm, Wednesday-Sunday 9am-10-pm
","### [GRUBHUB](https://www.grubhub.com/restaurant/home-sweet-harlem-1528-amsterdam-ave-new-york/315555?gclid=EAIaIQobChMI1-LSjuqz6AIVh5-zCh1ipgQIEAAYAiAAEgKcBvD_BwE&gclsrc=aw.ds)

",,,"https://www.instagram.com/home_sweet_harlem/","Restaurant/Bar","yes","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/home-sweet-harlem-1528-amsterdam-ave-new-york/315555?gclid=EAIaIQobChMI1-LSjuqz6AIVh5-zCh1ipgQIEAAYAiAAEgKcBvD_BwE&gclsrc=aw.ds)

","2020-10-29","2020-06-15T20:53:30.000Z","
",,,,
